order_item_id,order_id,product_id,quantity,unit_price,total_price,discount
1,1,214,4,459.04,1836.16,0.0
2,1,12,1,193.9,145.05,48.85
3,1,160,1,26.55,23.42,3.13
4,1,79,2,414.18,828.36,0.0
5,1,220,1,489.47,489.47,0.0
6,2,17,2,464.81,929.62,0.0
7,3,49,4,128.35,513.4,0.0
8,3,163,4,103.74,414.96,0.0
9,3,272,5,250.01,1250.05,0.0
10,3,330,3,460.91,1254.87,127.86
11,3,108,3,17.39,52.17,0.0
12,3,128,4,188.18,752.72,0.0
13,4,213,4,333.73,1334.92,0.0
14,4,234,5,193.02,965.1,0.0
15,4,264,5,401.02,2005.1,0.0
16,4,279,5,164.44,822.2,0.0
17,5,94,1,237.4,169.46,67.94
18,5,53,1,168.79,168.79,0.0
19,5,186,4,311.55,1246.2,0.0
20,6,331,2,315.64,631.28,0.0
21,6,12,5,193.9,969.5,0.0
22,6,49,2,128.35,256.7,0.0
23,6,47,1,307.58,307.58,0.0
24,7,43,4,151.35,605.4,0.0
25,7,333,3,441.48,1324.44,0.0
26,7,194,2,486.17,972.34,0.0
27,8,165,4,297.06,1188.24,0.0
28,8,295,4,111.82,447.28,0.0
29,9,349,4,449.03,1796.12,0.0
30,10,334,5,400.6,2003.0,0.0
31,10,295,2,118.45,207.67,29.23
32,10,292,3,98.38,295.14,0.0
33,10,270,4,420.06,1680.24,0.0
34,10,208,4,369.63,1478.52,0.0
35,10,23,4,195.7,782.8,0.0
36,10,137,1,303.19,303.19,0.0
37,10,168,-2,184.84,-369.68,0.0
38,11,303,5,116.14,580.7,0.0
39,11,298,1,308.09,308.09,0.0
40,12,321,2,19.51,39.02,0.0
41,12,68,3,150.65,451.95,0.0
42,12,343,5,401.22,2006.1,0.0
43,13,205,5,362.94,1814.7,0.0
44,13,116,1,67.75,63.58,4.17
45,13,251,1,73.73,73.73,0.0
46,13,170,4,382.73,1530.92,0.0
47,13,136,3,267.65,761.86,41.09
48,13,185,2,407.67,815.34,0.0
49,14,87,5,206.96,1034.8,0.0
50,14,239,1,459.43,459.43,0.0
51,15,179,2,154.9,309.8,0.0
52,15,73,4,470.83,1883.32,0.0
53,15,268,4,61.54,246.16,0.0
54,15,212,2,309.24,618.48,0.0
55,15,320,1,274.54,244.65,29.89
56,15,331,4,252.3,1009.2,0.0
57,15,176,3,41.51,124.53,0.0
58,16,280,3,228.74,686.22,0.0
59,16,327,5,471.25,2356.25,0.0
60,16,311,2,391.07,782.14,0.0
61,17,51,2,142.27,284.54,0.0
62,17,202,4,466.85,1867.4,0.0
63,17,143,3,459.38,1378.14,0.0
64,17,214,3,459.04,1377.12,0.0
65,17,320,4,274.54,1098.16,0.0
66,17,262,4,62.45,244.8,5.0
67,17,47,3,307.58,922.74,0.0
68,18,273,2,21.18,42.36,0.0
69,19,20,1,363.06,323.25,39.81
70,20,306,5,208.56,1042.8,0.0
71,20,254,1,303.59,303.59,0.0
72,20,215,4,223.71,894.84,0.0
73,20,57,5,230.08,1150.4,0.0
74,20,175,3,491.59,1474.77,0.0
75,20,176,4,41.51,166.04,0.0
76,20,113,2,485.69,971.38,0.0
77,20,2,3,73.82,221.46,0.0
78,21,141,1,454.98,454.98,0.0
79,21,191,3,239.5,718.5,0.0
80,21,121,2,202.37,404.74,0.0
81,21,220,5,489.47,2447.35,0.0
82,21,160,3,26.55,79.65,0.0
83,21,189,1,383.38,383.38,0.0
84,22,89,4,374.41,1497.64,0.0
85,23,262,3,62.45,187.35,0.0
86,23,250,2,11.11,22.22,0.0
87,23,117,3,114.67,344.01,0.0
88,23,298,2,308.09,616.18,0.0
89,23,71,2,183.64,367.28,0.0
90,23,244,4,284.16,1136.64,0.0
91,24,258,5,255.77,1278.85,0.0
92,24,196,-2,346.8,-693.6,0.0
93,24,273,4,21.18,84.72,0.0
94,24,125,3,116.95,350.85,0.0
95,24,269,5,160.03,800.15,0.0
96,25,177,4,295.95,1183.8,0.0
97,25,118,1,216.01,216.01,0.0
98,25,267,1,102.55,102.55,0.0
99,26,129,5,338.61,1693.05,0.0
100,26,227,2,153.86,307.72,0.0
101,26,257,4,124.8,499.2,0.0
102,26,73,3,470.83,1412.49,0.0
103,27,132,3,218.17,654.51,0.0
104,27,67,4,474.29,1789.51,107.65
105,28,52,5,138.05,690.25,0.0
106,28,3,3,405.67,1217.01,0.0
107,28,80,1,204.24,204.24,0.0
108,28,70,4,346.63,1386.52,0.0
109,28,296,2,309.94,619.88,0.0
110,28,196,1,346.8,346.8,0.0
111,28,168,5,184.84,924.2,0.0
112,28,297,2,418.09,836.18,0.0
113,29,85,5,282.62,1413.1,0.0
114,30,267,5,102.55,512.75,0.0
115,30,274,3,137.61,412.83,0.0
116,30,7,4,108.71,406.58,28.26
117,31,62,3,64.92,194.76,0.0
118,32,305,5,8.94,44.7,0.0
119,32,105,1,267.77,267.77,0.0
120,32,9,5,161.15,805.75,0.0
121,32,22,5,431.53,2157.65,0.0
122,32,114,5,407.46,2037.3,0.0
123,32,27,2,204.87,409.74,0.0
124,33,211,1,335.55,335.55,0.0
125,33,126,3,415.58,1170.65,76.09
126,33,343,5,401.22,2006.1,0.0
127,33,92,4,239.12,956.48,0.0
128,33,74,2,283.61,508.05,59.17
129,33,198,4,434.49,1737.96,0.0
130,34,346,4,212.7,850.8,0.0
131,34,255,4,191.15,764.6,0.0
132,34,77,5,495.68,2478.4,0.0
133,34,131,3,32.12,91.55,4.81
134,34,225,1,474.52,474.52,0.0
135,35,33,1,453.14,453.14,0.0
136,36,12,2,193.9,387.8,0.0
137,37,301,5,183.26,891.14,25.16
138,38,115,3,91.38,274.14,0.0
139,39,194,1,486.17,486.17,0.0
