member_id,customer_id,tier,points_balance,points_earned_lifetime,points_redeemed,join_date,last_activity_date,status
1,3,Bronze,2892,10429,7537,2025-01-30,2025-04-23,active
2,5,Silver,8582,10670,2088,2025-05-02,2025-05-14,active
3,6,Silver,2678,20028,17350,2024-09-10,2025-08-30,active
4,7,Silver,39629,48604,8975,2025-02-19,2025-02-20,active
5,8,Gold,18616,27024,8408,2025-08-31,2025-10-17,active
6,9,Silver,1039,2058,1019,2025-10-27,2025-10-28,active
7,14,Bronze,9932,10942,1010,2025-02-05,2025-09-20,active
8,15,Silver,2354,8024,5670,2025-06-25,2025-08-17,active
9,17,Bronze,541,2932,2391,2025-10-11,2025-10-13,active
10,22,Bronze,4061,26896,22835,2025-01-13,2025-02-03,active
11,26,Bronze,8910,34619,25709,2025-06-27,2025-08-29,active
12,27,Bronze,5007,10766,5759,2024-08-14,2025-08-10,active
13,28,Bronze,19747,30742,10995,2024-09-21,2025-08-24,active
14,31,Bronze,3498,11595,8097,2025-01-06,2025-05-18,active
15,32,Bronze,3805,9696,5891,2024-03-27,2025-09-27,active
16,33,Bronze,21757,40062,18305,2024-08-26,2025-01-18,active
17,35,Bronze,1391,3902,2511,2025-08-23,2025-09-09,active
18,36,Silver,156,18096,17940,2025-01-02,2025-02-01,active
19,38,Bronze,31428,46003,14575,2025-09-21,2025-10-13,active
20,40,Bronze,7535,11687,4152,2025-05-09,2025-07-04,active
21,42,Silver,7924,14068,6144,2025-06-01,2025-10-25,active
22,43,Bronze,21164,32237,11073,2025-10-03,2025-10-20,active
23,44,Silver,2864,13213,10349,2024-11-30,2025-06-06,active
24,47,Gold,18624,47094,28470,2024-12-28,2025-07-24,active
25,48,Bronze,16681,28352,11671,2025-03-04,2025-08-02,active
26,52,Silver,4353,36421,32068,2025-06-25,2025-10-26,active
27,53,Bronze,7638,32318,24680,2025-10-16,2025-10-23,active
28,60,Gold,2898,37239,34341,2025-10-05,2025-10-14,active
29,61,Bronze,2489,7601,5112,2025-02-15,2025-08-12,active
30,62,Bronze,4437,5249,812,2025-10-16,2025-10-24,active
31,63,Bronze,1956,32457,30501,2025-06-27,2025-10-21,active
32,65,Bronze,9894,49594,39700,2025-10-30,2025-10-31,active
33,67,Bronze,38154,39957,1803,2025-06-22,2025-09-24,active
34,68,Bronze,888,8362,7474,2024-04-27,2024-06-27,active
35,71,Silver,10136,23438,13302,2024-11-21,2025-07-31,active
36,73,Bronze,3691,24629,20938,2025-04-17,2025-05-24,active
37,74,Silver,17973,31652,13679,2025-05-27,2025-05-29,active
38,75,Bronze,3429,10072,6643,2025-09-17,2025-10-25,active
39,76,Gold,2067,4503,2436,2025-10-02,2025-10-06,active
40,78,Bronze,13469,16305,2836,2025-06-10,2025-10-25,active
41,79,Gold,14732,45785,31053,2025-06-13,2025-07-08,active
42,80,Bronze,31778,40958,9180,2024-12-14,2025-02-22,active
43,81,Bronze,8489,13392,4903,2025-09-14,2025-10-13,active
44,84,Bronze,9871,16567,6696,2025-10-31,2025-10-31,active
45,85,Silver,4782,5252,470,2025-08-26,2025-10-28,active
46,86,Platinum,1202,13831,12629,2025-06-16,2025-06-30,active
47,87,Bronze,18150,47961,29811,2024-02-16,2025-07-07,active
48,88,Bronze,21419,35131,13712,2025-03-02,2025-03-10,active
49,90,Bronze,28270,40692,12422,2025-05-18,2025-09-01,active
50,91,Platinum,3958,9840,5882,2025-01-31,2025-07-22,active
51,92,Gold,5379,38122,32743,2025-02-01,2025-05-11,active
52,94,Silver,800,1500,700,2025-01-22,2025-10-18,active
53,95,Gold,18757,27085,8328,2025-09-05,2025-09-16,active
54,98,Bronze,20894,38589,17695,2025-06-02,2025-08-20,active
55,99,Bronze,3455,5876,2421,2025-08-09,2025-09-01,active
56,101,Silver,3586,30804,27218,2024-08-26,2024-09-13,active
57,103,Bronze,5136,16497,11361,2025-10-22,2025-10-25,active
58,104,Bronze,9520,11685,2165,2025-06-01,2025-08-27,active
59,108,Bronze,1929,3663,1734,2025-06-02,2025-09-04,active
60,109,Bronze,26228,38807,12579,2025-09-07,2025-10-04,active
61,110,Bronze,2321,8155,5834,2025-10-28,2025-10-29,active
62,111,Bronze,32667,42087,9420,2025-06-16,2025-06-18,active
63,114,Bronze,29402,47534,18132,2025-05-14,2025-06-22,active
64,116,Bronze,10022,44024,34002,2025-10-02,2025-10-11,active
65,117,Gold,13933,22766,8833,2025-09-26,2025-10-08,active
66,118,Bronze,2634,13911,11277,2024-07-22,2025-10-04,active
67,120,Bronze,6796,34281,27485,2025-04-18,2025-07-03,active
68,121,Gold,9078,14593,5515,2024-03-14,2024-08-05,active
69,123,Gold,4280,17241,12961,2025-09-27,2025-10-25,active
70,124,Bronze,672,16798,16126,2025-03-15,2025-06-09,active
71,127,Gold,12923,45105,32182,2025-09-20,2025-09-27,active
72,128,Silver,3783,44847,41064,2025-05-19,2025-10-07,active
73,130,Bronze,31792,41642,9850,2025-08-29,2025-09-25,active
74,131,Gold,2427,3195,768,2024-06-23,2025-08-20,active
75,132,Bronze,7652,19872,12220,2024-11-05,2025-03-24,active
76,135,Bronze,20823,47782,26959,2025-02-20,2025-09-19,active
77,136,Bronze,18844,37182,18338,2025-10-03,2025-10-13,active
78,137,Bronze,748,24692,23944,2025-10-22,2025-10-26,active
79,140,Silver,17400,21142,3742,2024-07-28,2025-03-25,active
80,141,Bronze,13006,21120,8114,2025-07-27,2025-10-11,active
81,142,Bronze,1705,20760,19055,2024-09-24,2025-01-24,active
82,143,Bronze,6895,42522,35627,2025-04-28,2025-09-03,active
83,144,Bronze,14437,27545,13108,2025-01-12,2025-04-17,active
84,146,Bronze,2039,2373,334,2025-05-26,2025-07-31,active
85,147,Bronze,22278,33565,11287,2024-09-24,2025-09-20,active
86,148,Silver,27508,44491,16983,2025-07-05,2025-10-25,active
87,149,Gold,27284,44366,17082,2025-09-26,2025-09-28,active
88,151,Silver,19477,32477,13000,2025-07-04,2025-07-22,active
89,154,Silver,24678,42602,17924,2025-10-17,2025-10-17,active
90,155,Silver,19613,22934,3321,2025-07-29,2025-09-17,active
